"OCA2",
"DCT",
"TYRP1",
"PMEL",
"CDH1",
"CDH3",
"CDH7",
"DAPL1",
"GABRA5",
"GABRB3",
"ADCY2",
"GNAL",
"BRSK2",
"CNTFR",
"BCAN",
"SHANK1",
"SNAP25",
"BEX1",
"SNCB",
"CHRNA7",
"HAP1",
"AP3B2",
"VSNL1",
"POU3F1",
"POU4F1",
"DPYSL4",
"DPYSL5",
"VGF",
"L1CAM",
"EFHD1",
"NKX2-2",
"DLX6",
"SOX1",
"OLFM1",
"NTN1",
"NEUROG2",
"COBL",
"IRX1",
"IRX2",
"GATA4",
"GATA5",
"HES2",
"PITX1",
"PITX2",
"ISL1",
"LMX1B",
"FOXF2",
"LHX2",
"KRT1",
"KRT5",
"KRT6A",
"KRT6B",
"KRT6C",
"KRT14",
"KRT16",
"KRT17",
"KRT78",
"KRT80",
"KRTDAP",
"KRT4",
"KRT13",
"KRT15",
"KRT19",
"KRT23",
"KRT27",
"KRT75",
"KRT79",
"AP1S1",
"KLK7",
"KLK11",
"KLK4",
"KLK5",
"KLK8",
"KLK10",
"KLK11",
"KLK13",
"SPRR1A",
"SPRR2E",
"LOR",
"EVPL",
"SFN",
"SERPINB13",
"PPL",
"RPTN",
"CALML5",
"SPINK5",
"SPRR1B",
"SPRR2A",
"SPRR2B",
"SPRR2G",
"SPRR2D",
"SPRR2F",
"SPRR3",
"LGALS7",
"S100A7",
"IVL",
"SFN",
"CDSN",
"LOR",
"FOXN1",
"SCEL",
"OVOL1",
"FERMT1",
"BNC1",
"EHF",